PLANILHA DE PRODUÇÃO – JOGO SÉRIO BRUMAS (Build 1 – Entrega 19/04),,,,
,,,,
LEGENDA DE STATUS (aplicar cor na célula):,,,,
"Verde = Concluído | Amarelo = Em andamento | Vermelho = Não iniciado",,,,
,,,,
=== LINHA DE EXEMPLO (COMO PREENCHER) ===,,,,
Data,André Henriques,Antonio Araujo,Arthur Doffémond,Laura Alairce
EXEMPLO (Tarefa),"Criar projeto Unity + estrutura de pastas","Atualizar GDR – Seção de identidade visual","Criar script base de navegação de cenas","Escrever roteiro completo do Benício"
"EXEMPLO (Descrição + Commit)","Criado projeto Unity 2022.3 LTS com pastas: Assets/Scripts, Assets/Prefabs, Assets/Scenes, Assets/Audio, Assets/UI, Assets/Models, Assets/Textures, Assets/Materials. Configurado build target para Android. Criado .gitignore adequado. Adicionado cena MainMenu.unity. Scripts criados: GameManager.cs (singleton de controle geral), SceneLoader.cs (carregamento assíncrono de cenas). Assets: nenhum asset externo adicionado. Falta: integrar com sistema de narrativa. Commit: https://github.com/AndreHP950/Brumas/commit/XXXXXXX","Atualizado documento GDR com seção de identidade visual. Adicionadas 15 referências de jogos sérios (That Dragon Cancer, Valiant Hearts, Papers Please). Definida paleta de cores: Amarelo principal (#F2C94C), Amarelo escuro (#D4A017), Marrom terra (#8B6914), Verde musgo (#556B2F), Cinza concreto (#808080). Criado moodboard no Pinterest com 30+ imagens de referência (cenários low poly, UI minimalista, paletas quentes). Assets: Documento GDR atualizado (PDF/DOCX). Falta: validar paleta com a equipe. Commit: https://github.com/AndreHP950/Brumas/commit/XXXXXXX","Criado script base SceneNavigator.cs com métodos: LoadScene(string sceneName), GoBack(), GoForward(). Implementado padrão Singleton. Criado TransitionManager.cs para fade in/out entre cenas usando CanvasGroup. Utilizado SceneManager.LoadSceneAsync() para carregamento assíncrono. Assets: nenhum. Falta: integrar com sistema de escolhas e adicionar efeitos sonoros nas transições. Commit: https://github.com/AndreHP950/Brumas/commit/XXXXXXX","Escrito roteiro completo do personagem Benício com 12 trechos narrativos. Estrutura: 3 atos (Manhã, Tarde, Rompimento). Cada trecho contém: texto narrativo (150-300 palavras), 2-3 opções de escolha, indicação de áudio/SFX. Total de 8 ramificações possíveis e 3 finais diferentes. Documento criado em formato JSON para integração com Unity. Assets: roteiro_benicio.json, fluxograma_narrativa.png (criado no Figma). Falta: revisão ortográfica e validação do fluxo com a equipe. Commit: https://github.com/AndreHP950/Brumas/commit/XXXXXXX"
,,,,
=== SEMANA 1: 05/04 – 11/04 (Estrutura Base + Planejamento) ===,,,,
Data,André Henriques,Antonio Araujo,Arthur Doffémond,Laura Alairce
"05/04 – 11/04 (Tarefa 1)","Criar projeto Unity + organização completa de pastas e configuração inicial","Atualizar GDR com referências visuais e narrativas de jogos sérios","Pesquisar e prototipar sistema de navegação entre cenas (Unity)","Escrever roteiro completo do Benício (todos os trechos e ramificações)"
"05/04 – 11/04 (Descrição + Commit 1)","Criar projeto Unity 2022.3 LTS. Organizar pastas: Assets/Scripts/Core, Assets/Scripts/UI, Assets/Scripts/Narrative, Assets/Scripts/Audio, Assets/Scenes, Assets/Prefabs, Assets/Audio/SFX, Assets/Audio/Narration, Assets/UI/Sprites, Assets/Models, Assets/Textures, Assets/Materials. Configurar Player Settings para Android (orientação landscape, resolução base 1920x1080). Criar cenas iniciais: MainMenu.unity, GameScene.unity, SelectionScene.unity. Scripts iniciais: GameManager.cs (singleton). Commit: [INSERIR LINK]","Pesquisar e documentar no GDR pelo menos 10 referências de jogos sérios (That Dragon Cancer, Valiant Hearts, Papers Please, etc). Incluir screenshots e análise de cada referência (o que funciona, o que não funciona). Documentar mecânicas de narrativa interativa. Adicionar seção de público-alvo detalhada. Commit: [INSERIR LINK]","Estudar SceneManager e AsyncOperation do Unity. Criar protótipo de SceneNavigator.cs com LoadScene(), GoBack(), GoForward(). Testar carregamento assíncrono entre 2 cenas de teste. Documentar decisões técnicas no código com comentários. Commit: [INSERIR LINK]","Criar documento com roteiro completo: 12+ trechos narrativos divididos em 3 atos (Manhã: acordar/café/saída; Tarde: trabalho/almoço/volta; Evento: sinais/rompimento/desfecho). Cada trecho com texto narrativo + 2-3 opções de escolha. Mapear todas as ramificações em fluxograma. Exportar em formato que facilite integração (JSON ou planilha). Commit: [INSERIR LINK]"
"05/04 – 11/04 (Tarefa 2)","Implementar menu principal funcional (UI Canvas)","Definir paleta de cores oficial e documentar no GDR","Criar sistema base de escolhas (NarrativeChoice)","Criar moodboard no Pinterest (identidade visual do jogo)"
"05/04 – 11/04 (Descrição + Commit 2)","Criar Canvas com layout responsivo (Canvas Scaler: Scale With Screen Size, ref 1920x1080). Implementar MainMenuController.cs com botões: Iniciar (carrega seleção de personagem), Configurações (abre painel), Sair (Application.Quit). Criar animações de hover/press nos botões. Adicionar background placeholder. Implementar painel de Configurações com volume master. Commit: [INSERIR LINK]","Definir paleta de cores com foco em amarelo: Primária (#F2C94C Amarelo Sol), Secundária (#D4A017 Amarelo Escuro), Apoio (#8B6914 Marrom Terra), Complementar (#556B2F Verde Musgo), Neutro (#808080 Cinza). Criar guia de aplicação (quando usar cada cor). Documentar no GDR com swatches visuais. Commit: [INSERIR LINK]","Criar ChoiceSystem.cs: struct NarrativeChoice (texto, próximo trecho, condição). Criar ChoiceButton.cs para UI dos botões de escolha. Implementar método ShowChoices(List<NarrativeChoice>) que instancia botões dinamicamente. Testar com 3 escolhas de exemplo. Commit: [INSERIR LINK]","Criar moodboard no Pinterest com pelo menos 30 imagens: referências low poly (10+), referências de UI minimalista (10+), referências de paleta quente/amarelo (5+), referências de jogos narrativos (5+). Compartilhar link com a equipe. Documentar critérios de seleção. Commit: [INSERIR LINK]"
"05/04 – 11/04 (Tarefa 3)","Implementar tela de seleção de personagem","Criar moodboard no Pinterest (junto com Laura) – cenários e ambientação","Implementar sistema de histórico de decisões","Criar conceitos visuais 2D para UI (botões, painéis, ícones)"
"05/04 – 11/04 (Descrição + Commit 3)","Criar SelectionController.cs com grid de personagens (inicialmente só Benício). Implementar card de personagem com: imagem, nome, descrição breve. Botão Selecionar que carrega a cena do jogo com dados do personagem. Usar ScriptableObject PersonageData.cs para dados de cada personagem. Preparar estrutura para futuros personagens. Commit: [INSERIR LINK]","Colaborar com Laura no Pinterest: adicionar referências de cenários low poly de cidades pequenas, mineração, natureza brasileira. Pesquisar referências de Brumadinho real (fotos, mapas, vegetação). Criar pasta no Pinterest específica para cenários. Documentar no GDR seção de direção de arte de cenários. Commit: [INSERIR LINK]","Criar DecisionHistory.cs: List<DecisionRecord> com timestamp, trecho, escolha feita. Criar HistoryPanel.cs para UI do histórico (scroll view com entries). Implementar métodos AddDecision(), GetHistory(), ClearHistory(). Usar PlayerPrefs ou JSON para persistência local. Testar com dados de exemplo. Commit: [INSERIR LINK]","Criar no GIMP: sprites para botões (normal, hover, pressed) seguindo paleta definida. Criar painéis de diálogo/narrativa (fundo semi-transparente com borda). Criar ícones para menu (iniciar, config, sair, voltar, avançar, reler). Exportar como PNG com transparência. Tamanhos adequados para mobile. Commit: [INSERIR LINK]"
,,,,
=== SEMANA 2: 12/04 – 18/04 (FOCO TOTAL – Integração e Build) ===,,,,
Data,André Henriques,Antonio Araujo,Arthur Doffémond,Laura Alairce
"12/04 – 18/04 (Tarefa 1)","Implementar sistema completo de narrativa (NarrativeManager)","Modelar cenário base low poly no Blender (sandbox da cidade)","Integrar sistema de escolhas com sistema de narrativa","Integrar roteiro no formato JSON com o sistema de narrativa"
"12/04 – 18/04 (Descrição + Commit 1)","Criar NarrativeManager.cs: carregar dados JSON da história, exibir trecho atual (texto + áudio), gerenciar transições entre trechos. Criar NarrativeData.cs (ScriptableObject ou JSON parser): id, texto, audioClip, listaDeEscolhas, próximoTrecho. Implementar métodos: LoadStory(), ShowCurrentFragment(), AdvanceToNext(), GoBack(), ReplayFragment(). Integrar com UI de narrativa (painel de texto, botões de navegação). Commit: [INSERIR LINK]","Modelar no Blender cenário low poly: terreno base com montanhas, rio, vegetação simples (árvores low poly), casas simples (cubo + telhado), igreja/praça central, área de mineração (barragem). Total de 8-12 modelos modulares. Exportar como FBX para Unity. Aplicar cores sólidas da paleta (sem texturas complexas). Commit: [INSERIR LINK]","Conectar ChoiceSystem.cs com NarrativeManager.cs: quando jogador clica em escolha, registrar no DecisionHistory e avançar para próximo trecho. Implementar lógica de ramificação (if/switch baseado em escolha). Garantir que todas as ramificações do roteiro estão mapeadas. Testar fluxo completo (início ao fim) com pelo menos 2 caminhos diferentes. Commit: [INSERIR LINK]","Converter roteiro final em formato JSON estruturado: cada trecho com id, texto, audioRef, choices[]. Validar que todos os caminhos estão corretos (sem dead ends). Criar arquivo story_benicio.json. Testar importação no Unity com NarrativeManager. Ajustar textos para melhor legibilidade em tela mobile. Commit: [INSERIR LINK]"
"12/04 – 18/04 (Tarefa 2)","Implementar sistema de áudio (AudioManager + narração)","Aplicar texturas e materiais low poly nos modelos do cenário","Implementar botões de navegação da história (avançar, voltar, reler)","Criar artes 2D para tela de narrativa (backgrounds, frames)"
"12/04 – 18/04 (Descrição + Commit 2)","Criar AudioManager.cs (singleton): gerenciar música de fundo, SFX e narração. Implementar métodos: PlayNarration(AudioClip), PlaySFX(string sfxName), PlayMusic(AudioClip), StopAll(). Criar AudioMixer com 3 grupos (Music, SFX, Narration). Integrar com NarrativeManager para tocar narração automática a cada trecho. Adicionar SFX para cliques em botões e transições. Commit: [INSERIR LINK]","No GIMP/Blender: criar materiais com cores sólidas da paleta (amarelo, marrom, verde). Aplicar em todos os modelos do cenário. Ajustar iluminação da cena no Unity (luz direcional quente). Configurar câmera para enquadramento adequado do cenário. Testar visual no editor e em dispositivo mobile. Commit: [INSERIR LINK]","Criar NavigationUI.cs: botão Avançar (próximo trecho), botão Voltar (trecho anterior), botão Reler (replay trecho atual). Posicionar botões na parte inferior da tela. Implementar animações de feedback (scale bounce). Integrar com NarrativeManager: Avançar chama AdvanceToNext(), Voltar chama GoBack(), Reler chama ReplayFragment(). Desabilitar Voltar no primeiro trecho. Commit: [INSERIR LINK]","Criar no GIMP: imagens de background para diferentes momentos do dia (manhã, tarde, entardecer). Criar frame decorativo para área de texto narrativo. Criar separadores visuais entre trechos. Criar assets para transições (fade overlay). Exportar como PNG otimizado para mobile (compressão adequada). Commit: [INSERIR LINK]"
"12/04 – 18/04 (Tarefa 3)","Integração geral de todos os sistemas + responsividade mobile","Implementar cenário dinâmico no Unity (muda conforme história)","Implementar transições visuais entre cenas/trechos","Revisão final do roteiro + testes de fluxo narrativo"
"12/04 – 18/04 (Descrição + Commit 3)","Integrar todos os sistemas: Menu → Seleção → Narrativa → Escolhas → Histórico → Áudio. Testar fluxo completo do início ao fim. Ajustar Canvas Scaler e layout para diferentes resoluções mobile (16:9, 18:9, 20:9). Testar em pelo menos 2 dispositivos/resoluções. Corrigir bugs de integração. Otimizar performance (target 30fps em mobile). Commit: [INSERIR LINK]","Criar ScenarioController.cs: alterar iluminação, skybox e objetos visíveis conforme trecho da história. Mapear quais modelos aparecem em cada momento (ex: manhã=sol forte+casas iluminadas, tarde=sol baixo+sombras, evento=escuro+poeira). Integrar com NarrativeManager para trigger automático. Testar todas as variações visuais. Commit: [INSERIR LINK]","Criar TransitionEffect.cs: fade to black, crossfade, slide. Usar CanvasGroup alpha para fade in/out (0.5s duração). Integrar com SceneNavigator e NarrativeManager. Adicionar SFX de transição (whoosh ou similar). Testar todas as transições entre trechos da história. Garantir que não há flickering ou delay visível. Commit: [INSERIR LINK]","Testar todos os caminhos narrativos no jogo. Verificar ortografia e coerência textual. Validar que todas as escolhas levam a trechos corretos. Verificar que não há dead ends. Testar experiência de leitura em tela mobile. Documentar bugs encontrados. Ajustar textos conforme necessário. Commit: [INSERIR LINK]"
"12/04 – 18/04 (Tarefa 4)","Preparar e gerar build APK final + testes","Finalizar GDR completo para entrega","Testes finais de mecânicas e correção de bugs","Preparar documento de apresentação do projeto"
"12/04 – 18/04 (Descrição + Commit 4)","Configurar Build Settings: Android, ARM64, IL2CPP. Configurar ícone do app e splash screen. Gerar APK de teste. Instalar e testar em dispositivo real. Corrigir bugs críticos encontrados. Gerar build final. Documentar versão e changelog. Commit: [INSERIR LINK]","Revisar e finalizar GDR completo: visão geral, gameplay, narrativa, arte, técnico, cronograma. Adicionar screenshots do jogo atual. Incluir paleta de cores final com exemplos aplicados. Incluir link do moodboard do Pinterest. Exportar versão final em PDF. Commit: [INSERIR LINK]","Testar todas as mecânicas: navegação entre cenas, sistema de escolhas, histórico, botões de navegação, transições, áudio. Listar bugs encontrados com prioridade (crítico/alto/médio/baixo). Corrigir bugs críticos e altos. Verificar performance em mobile. Documentar bugs restantes para próximo sprint. Commit: [INSERIR LINK]","Criar documento/apresentação resumindo: conceito do jogo, público-alvo, decisões de design, estado atual, próximos passos. Incluir screenshots e fluxograma narrativo. Preparar material para validação com instituição parceira. Commit: [INSERIR LINK]"
,,,,
=== SEMANA 3: 19/04 – 25/04 (Pós-entrega + Melhorias) ===,,,,
Data,André Henriques,Antonio Araujo,Arthur Doffémond,Laura Alairce
"19/04 – 25/04 (Tarefa 1)","Corrigir bugs reportados na build 1 + otimização de performance","Refinar modelos 3D do cenário (detalhes adicionais)","Implementar sistema de save/load de progresso","Expandir narrativa com trechos adicionais e detalhes"
"19/04 – 25/04 (Descrição + Commit 1)","Analisar feedback da entrega. Corrigir todos os bugs críticos reportados. Otimizar carregamento de cenas (loading screen). Melhorar performance de renderização. Revisar memory leaks. Testar correções em dispositivo mobile. Commit: [INSERIR LINK]","Adicionar detalhes aos modelos existentes: vegetação adicional, objetos de cenário (bancos, postes, carros), detalhes na barragem. Manter estilo low poly. Otimizar contagem de polígonos para mobile (<50k total). Commit: [INSERIR LINK]","Criar SaveSystem.cs: salvar progresso atual (trecho, decisões tomadas) em JSON local. Implementar auto-save a cada escolha. Criar tela de Continue/New Game no menu. Testar save/load em múltiplos dispositivos. Commit: [INSERIR LINK]","Adicionar trechos de transição entre atos. Aprofundar descrições de ambiente e emoções. Adicionar diálogos com personagens secundários. Revisar todo o texto com foco em acessibilidade (linguagem clara). Commit: [INSERIR LINK]"
,,,,
=== SEMANA 4: 26/04 – 02/05 (Polimento + Próximo Ciclo) ===,,,,
Data,André Henriques,Antonio Araujo,Arthur Doffémond,Laura Alairce
"26/04 – 02/05 (Tarefa 1)","Implementar acessibilidade (tamanho de fonte, contraste, narração automática)","Criar assets adicionais para novos trechos narrativos","Polir transições e efeitos visuais","Pesquisar e documentar próximas histórias/personagens"
"26/04 – 02/05 (Descrição + Commit 1)","Implementar opção de aumentar/diminuir fonte. Garantir contraste mínimo AA (WCAG). Adicionar narração automática como opção. Implementar modo daltônico (ajuste de paleta). Testar com usuários de diferentes idades. Commit: [INSERIR LINK]","Criar modelos adicionais conforme novos trechos: objetos interativos, personagens secundários (silhuetas low poly), elementos de ambiente específicos. Criar animações simples (água fluindo, folhas, poeira). Commit: [INSERIR LINK]","Melhorar efeitos de transição: adicionar partículas, melhorar fade timing. Implementar efeitos de câmera (zoom leve, pan). Adicionar screen shake para momento do rompimento. Polir todos os feedbacks visuais de botões. Commit: [INSERIR LINK]","Pesquisar relatos e histórias reais de sobreviventes (com respeito e sensibilidade). Documentar possíveis novos personagens para builds futuras. Criar estrutura narrativa base para segundo personagem. Validar abordagem com instituição parceira. Commit: [INSERIR LINK]"
